Name of medicine,EMA product number,Medicine status,International non-proprietary name (INN) / common name,Active substance
Dengvaxia,EMEA/H/C/004171,Withdrawn,"dengue tetravalent vaccine (live, attenuated)","chimeric yellow fever dengue virus serotype 1 (live, attenuated);chimeric yellow fever dengue virus serotype 2 (live, attenuated);chimeric yellow fever dengue virus serotype 3 (live, attenuated);chimeric yellow fever dengue virus serotype 4 (live, attenuated)"
Paxlovid,EMEA/H/C/005973,Authorised,nirmatrelvir;ritonavir,nirmatrelvir;ritonavir
Brinsupri,EMEA/H/C/005820,Authorised,Brensocatib,Brensocatib monohydrate
Tuzodi,EMEA/H/C/005658,Application withdrawn,midazolam,Midazolam Hydrochloride
Hetlioz,EMEA/H/C/003870,Authorised,tasimelteon,tasimelteon
Adcetris,EMEA/H/C/002455,Authorised,brentuximab vedotin,Brentuximab vedotin
Lynparza,EMEA/H/C/003726,Authorised,olaparib,olaparib
Sunitinib Accord,EMEA/H/C/005419,Authorised,sunitinib,sunitinib
Tryngolza,EMEA/H/C/006477,Authorised,olezarsen,olezarsen sodium
Baraclude,EMEA/H/C/000623,Authorised,entecavir,Entecavir
Delstrigo,EMEA/H/C/004746,Authorised,doravirine;lamivudine;tenofovir disoproxil,doravirine;lamivudine;tenofovir disoproxil fumarate
Incellipan,EMEA/H/C/006051,Authorised,"pandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted, prepared in cell cultures)","Influenza virus A/turkey/Turkey/1/2005 (H5N1) NIBRG-23 strain, HA surface antigen"
NexoBrid,EMEA/H/C/002246,Authorised,concentrate of proteolytic enzymes enriched in bromelain,proteolytic enzymes enriched in bromelain
Enhertu,EMEA/H/C/005124,Authorised,trastuzumab deruxtecan,trastuzumab deruxtecan
Adempas,EMEA/H/C/002737,Authorised,riociguat,riociguat
Keytruda,EMEA/H/C/003820,Authorised,pembrolizumab,pembrolizumab
Protopic,EMEA/H/C/000374,Authorised,tacrolimus,tacrolimus
Oczyesa,EMEA/H/C/006322,Authorised,octreotide,octreotide hydrochloride
Ontozry,EMEA/H/C/005377,Authorised,cenobamate,cenobamate
Kaletra,EMEA/H/C/000368,Authorised,lopinavir;ritonavir,lopinavir;ritonavir
Pregabalin Sandoz,EMEA/H/C/004010,Authorised,pregabalin,pregabalin
Izamby,EMEA/H/C/006152,Authorised,denosumab,denosumab
Mysildecard,EMEA/H/C/004186,Authorised,sildenafil,
Gilenya,EMEA/H/C/002202,Authorised,fingolimod,fingolimod hydrochloride 
Tevimbra,EMEA/H/C/005919,Authorised,tislelizumab,tislelizumab
Krazati,EMEA/H/C/006013,Authorised,adagrasib,adagrasib
Upstaza,EMEA/H/C/005352,Authorised,eladocagene exuparvovec,Eladocagene exuparvovec
Xofluza,EMEA/H/C/004974,Authorised,baloxavir marboxil,Baloxavir marboxil
Rasagiline Viatris (previously Rasagiline Mylan),EMEA/H/C/004064,Authorised,rasagiline,rasagiline tartrate
Benepali,EMEA/H/C/004007,Authorised,etanercept,etanercept
Xelevia,EMEA/H/C/000762,Authorised,sitagliptin,sitagliptin
Cerezyme,EMEA/H/C/000157,Authorised,imiglucerase,imiglucerase
Erleada,EMEA/H/C/004452,Authorised,apalutamide,apalutamide
Velmetia,EMEA/H/C/000862,Authorised,sitagliptin;metformin,sitagliptin;metformin hydrochloride
Zinplava,EMEA/H/C/004136,Authorised,bezlotoxumab,Bezlotoxumab
Efficib,EMEA/H/C/000896,Authorised,sitagliptin;metformin,sitagliptin;metformin hydrochloride
Akynzeo,EMEA/H/C/003728,Authorised,netupitant;palonosetron,netupitant;palonosetron hydrochloride
Briviact (in Italy: Nubriveo),EMEA/H/C/003898,Authorised,brivaracetam,Brivaracetam
Tesavel,EMEA/H/C/000910,Authorised,sitagliptin,sitagliptin
MenQuadfi,EMEA/H/C/005084,Authorised,"meningococcal group A, C, W-135 and Y conjugate vaccine",Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid
Kyprolis,EMEA/H/C/003790,Authorised,carfilzomib,carfilzomib
Hemosyvet,EMEA/V/C/006461,Authorised,etamsylate,Etamsylate
Atropine sulfate FGK,EMEA/H/C/006385,Refused,atropine,atropine sulfate
Byfavo,EMEA/H/C/005246,Authorised,remimazolam,remimazolam besilate
Talvey,EMEA/H/C/005864,Authorised,talquetamab,talquetamab
Memantine Mylan,EMEA/H/C/002660,Authorised,memantine,memantine hydrochloride
Fingolimod Mylan,EMEA/H/C/005661,Authorised,fingolimod,
Rinvoq,EMEA/H/C/004760,Authorised,upadacitinib,upadacitinib
Rolcya,EMEA/H/C/006507,Authorised,denosumab,denosumab
Jubbonti,EMEA/H/C/005964,Authorised,denosumab,denosumab
Librela,EMEA/V/C/005180,Authorised,bedinvetmab,bedinvetmab
Lenivia,EMEA/V/C/006455,Authorised,izenivetmab,izenivetmab
Verzenios,EMEA/H/C/004302,Authorised,abemaciclib,abemaciclib
Metalyse,EMEA/H/C/000306,Authorised,tenecteplase,tenecteplase
Lynkuet,EMEA/H/C/006298,Authorised,elinzanetant,elinzanetant
Uplizna,EMEA/H/C/005818,Authorised,inebilizumab,inebilizumab
Rubraca,EMEA/H/C/004272,Authorised,rucaparib,Rucaparib camsylate
Celdoxome pegylated liposomal,EMEA/H/C/005330,Lapsed,doxorubicin hydrochloride,doxorubicin hydrochloride
Eliquis,EMEA/H/C/002148,Authorised,apixaban,apixaban
Qarziba (previously Dinutuximab beta EUSA and Dinutuximab beta Apeiron),EMEA/H/C/003918,Authorised,dinutuximab beta,Dinutuximab beta
Arexvy,EMEA/H/C/006054,Authorised,"recombinant respiratory syncytial virus pre-fusion F protein, adjuvanted with AS01E",Respiratory Syncytial Virus recombinant glycoprotein F stabilised in the pre-fusion conformation (RSVPreF3) produced in Chinese Hamster Ovary (CHO) cells by recombinant DNA technology
Zejula,EMEA/H/C/004249,Authorised,niraparib,niraparib (tosilate monohydrate)
Zilbrysq,EMEA/H/C/005450,Authorised,zilucoplan,zilucoplan
Mvasi,EMEA/H/C/004728,Authorised,bevacizumab,bevacizumab
mResvia,EMEA/H/C/006278,Authorised,Respiratory syncytial virus mRNA vaccine (nucleoside modified),Respiratory syncytial virus mRNA vaccine (nucleoside modified)
Hympavzi,EMEA/H/C/006240,Authorised,marstacimab,marstacimab
Hydrocortisone Aguettant,EMEA/H/C005201,Application withdrawn,,hydrocortisone
Exjade,EMEA/H/C/000670,Authorised,deferasirox,deferasirox
Refixia,EMEA/H/C/004178,Authorised,nonacog beta pegol,nonacog beta pegol
Xtandi,EMEA/H/C/002639,Authorised,enzalutamide,enzalutamide
Vaxxitek HVT+IBD+H5,EMEA/V/C/006751,Authorised,avian influenza vaccine (live recombinant),"Turkey herpesvirus, strain rHVT-IBD-H5 (cell-associated), expressing the VP2 protein gene of Infectious bursal disease virus and haemagglutinin gene of Avian influenza virus subtype H5, live"
Jaypirca,EMEA/H/C/005863,Authorised,pirtobrutinib,pirtobrutinib
Tukysa,EMEA/H/C/005263,Authorised,tucatinib,tucatinib
Herceptin,EMEA/H/C/000278,Authorised,trastuzumab,trastuzumab
Accofil,EMEA/H/C/003956,Authorised,filgrastim,filgrastim
Zynlonta,EMEA/H/C/005685,Authorised,loncastuximab tesirine,loncastuximab tesirine
Pedea,EMEA/H/C/000549,Authorised,ibuprofen,Ibuprofen
Brukinsa,EMEA/H/C/004978,Authorised,zanubrutinib,zanubrutinib
Sirturo,EMEA/H/C/002614,Authorised,bedaquiline,bedaquiline fumarate
Lupkynis,EMEA/H/C/005256,Authorised,voclosporin,voclosporin
Opdualag,EMEA/H/C/005481,Authorised,relatlimab;nivolumab,nivolumab;relatlimab
SonoVue,EMEA/H/C/000303,Authorised,sulphur hexafluoride,sulphur hexafluoride
Reblozyl,EMEA/H/C/004444,Authorised,luspatercept,Luspatercept
Siklos,EMEA/H/C/000689,Authorised,hydroxycarbamide,hydroxycarbamide
Crysvita,EMEA/H/C/004275,Authorised,burosumab,burosumab
Hizentra,EMEA/H/C/002127,Authorised,human normal immunoglobulin (SCIg),human normal immunoglobulin (SCIg)
Denbrayce,EMEA/H/C/006199,Authorised,denosumab,denosumab
Ebvallo,EMEA/H/C/004577,Authorised,tabelecleucel,tabelecleucel
Mayzent,EMEA/H/C/004712,Authorised,siponimod,siponimod fumaric acid
Steglujan,EMEA/H/C/004313,Authorised,ertugliflozin;sitagliptin,ertugliflozin l-pyroglutamic acid;sitagliptin phosphate monohydrate
Steglatro,EMEA/H/C/004315,Authorised,ertugliflozin,ertugliflozin l-pyroglutamic acid
Segluromet,EMEA/H/C/004314,Authorised,ertugliflozin;metformin hydrochloride,ertugliflozin l-pyroglutamic acid;metformin hydrochloride
Invanz,EMEA/H/C/000389,Authorised,ertapenem,ertapenem sodium
Obizur,EMEA/H/C/002792,Authorised,susoctocog alfa,susoctocog alfa
Yervoy,EMEA/H/C/002213,Authorised,ipilimumab,Ipilimumab
Vimpat,EMEA/H/C/000863,Authorised,lacosamide,lacosamide
Neuraceq,EMEA/H/C/002553,Authorised,florbetaben (18F),florbetaben (18F)
Pyzchiva,EMEA/H/C/006183,Authorised,ustekinumab,ustekinumab
Eiyzey,EMEA/H/C/006745,Authorised,aflibercept,aflibercept
Yselty,EMEA/H/C/005442,Authorised,linzagolix choline,linzagolix choline
Usgena,EMEA/H/C/006667,Authorised,ustekinumab,ustekinumab
Afinitor,EMEA/H/C/001038,Authorised,everolimus,everolimus
Votubia,EMEA/H/C/002311,Authorised,everolimus,everolimus
Maviret,EMEA/H/C/004430,Authorised,glecaprevir;pibrentasvir,glecaprevir;pibrentasvir
Xydalba,EMEA/H/C/002840,Authorised,dalbavancin,dalbavancin hydrochloride
Atectura Breezhaler,EMEA/H/C/005067,Authorised,indacaterol;mometasone,indacaterol acetate;mometasone furoate
Enerzair Breezhaler,EMEA/H/C/005061,Authorised,indacaterol;glycopyrronium bromide;mometasone,indacaterol;glycopyrronium bromide;mometasone
Gobivaz,EMEA/H/C/006560,Authorised,golimumab,golimumab
Teizeild,EMEA/H/C/005496,Opinion,teplizumab,teplizumab
Dafiro,EMEA/H/C/000776,Authorised,amlodipine;valsartan,amlodipine;valsartan
Copalia,EMEA/H/C/000774,Authorised,amlodipine;valsartan,valsartan;amlodipine (as amlodipine besilate)
Exforge,EMEA/H/C/000716,Authorised,amlodipine;valsartan,valsartan;amlodipine (as amlodipine besilate)
Remsima,EMEA/H/C/002576,Authorised,infliximab,infliximab
Synjardy,EMEA/H/C/003770,Authorised,empagliflozin;metformin,empagliflozin;metformin
Descovy,EMEA/H/C/004094,Authorised,emtricitabine;tenofovir alafenamide,emtricitabine;tenofovir alafenamide
Viread,EMEA/H/C/000419,Authorised,tenofovir disoproxil,tenofovir disoproxil fumarate
Hirobriz Breezhaler,EMEA/H/C/001211,Authorised,indacaterol,indacaterol maleate
Oslif Breezhaler,EMEA/H/C/001210,Authorised,indacaterol,indacaterol maleate
Onbrez Breezhaler,EMEA/H/C/001114,Authorised,indacaterol,indacaterol maleate
Efavirenz/Emtricitabine/Tenofovir disoproxil Mylan,EMEA/H/C/004240,Authorised,efavirenz;emtricitabine;tenofovir disoproxil,efavirenz;emtricitabine;tenofovir disoproxil maleate
Prevenar 20 (previously Apexxnar),EMEA/H/C/005451,Authorised,"pneumococcal polysaccharide conjugate vaccine (20-valent, adsorbed)",Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 3;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6A;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 8;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 10A;Pneumococcal polysaccharide serotype 11A;pneumococcal polysaccharide serotype 12F;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 15b;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19A;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 22F;Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 33F
Inhixa,EMEA/H/C/004264,Authorised,enoxaparin sodium,enoxaparin sodium
Truvada,EMEA/H/C/000594,Authorised,emtricitabine;tenofovir disoproxil,emtricitabine;tenofovir disoproxil fumarate
Vizamyl,EMEA/H/C/002557,Authorised,flutemetamol (18F),flutemetamol (18F)
Omlyclo,EMEA/H/C/005958,Authorised,omalizumab,omalizumab
Voxzogo,EMEA/H/C/005475,Authorised,vosoritide,vosoritide
Enwylma,EMEA/H/C/006376,Authorised,denosumab,denosumab
Tecentriq,EMEA/H/C/004143,Authorised,atezolizumab,atezolizumab
Ozawade,EMEA/H/C/005117,Authorised,pitolisant,pitolisant
Ristfor,EMEA/H/C/001235,Authorised,sitagliptin;metformin hydrochloride,sitagliptin;metformin hydrochloride
Awiqli,EMEA/H/C/005978,Authorised,insulin icodec,insulin icodec
Isentress,EMEA/H/C/000860,Authorised,raltegravir,raltegravir
Ivabradine Anpharm,EMEA/H/C/004187,Authorised,ivabradine,ivabradine
Corlentor,EMEA/H/C/000598,Authorised,ivabradine,ivabradine hydrochloride
Procoralan,EMEA/H/C/000597,Authorised,ivabradine,ivabradine hydrochloride
Imreplys,EMEA/H/C/006411,Authorised,sargramostim,sargramostim
Anagrelide Viatris (previously Anagrelide Mylan),EMEA/H/C/004585,Authorised,anagrelide,anagrelide hydrochloride
Elucirem,EMEA/H/C/005626,Authorised,gadopiclenol,Gadopiclenol
Ondexxya,EMEA/H/C/004108,Authorised,andexanet alfa,andexanet alfa
Plegridy,EMEA/H/C/002827,Authorised,peginterferon beta-1a,peginterferon beta-1a
Ranivisio,EMEA/H/C/005019,Authorised,ranibizumab,ranibizumab
Epruvy (previously Ranibizumab Midas),EMEA/H/C/006528,Authorised,ranibizumab,ranibizumab
Kizfizo,EMEA/H/C/006169,Refused,temozolomide,temozolomide
Enflonsia,EMEA/H/C/006497,Opinion,clesrovimab,clesrovimab
Ohtuvayre,EMEA/H/C/006742,Application withdrawn,ensifentrine,ensifentrine
Insulin Aspart Injection,EMEA/H/C/006720,Application withdrawn,insulin aspart,insulin aspart
Aqneursa,EMEA/H/C/006327,Opinion,L-acetylleucine,L-acetylleucine
Enzalutamide Accordpharma,EMEA/H/C/006612,Opinion,enzalutamide,enzalutamide
Rezurock,EMEA/H/C/006421,Opinion,Belumosudil,Belumosudil mesilate
Dawnzera,EMEA/H/C/006554,Opinion,donidalorsen,donidalorsen sodium
Ondibta,EMEA/H/C/006136,Opinion,insulin glargine,insulin glargine
Osqay,EMEA/H/C/006492,Opinion,denosumab,denosumab
VacPertagen,EMEA/H/C/006304,Opinion,"pertussis vaccine (recombinant, acellular, component, adsorbed)",pertussis filamentous haemagglutinin
Waskyra,EMEA/H/C/006525,Opinion,autologous CD34+ haematopoietic stem cells transduced ex vivo with a lentiviral vector encoding human Wiskott-Aldrich syndrome protein,autologous CD34+ haematopoietic stem cells transduced ex vivo with a lentiviral vector encoding human Wiskott-Aldrich syndrome protein
Inluriyo,EMEA/H/C/006184,Opinion,imlunestrant,imlunestrant tosilate
Juluca,EMEA/H/C/004427,Authorised,dolutegravir;rilpivirine,dolutegravir sodium;rilpivirine hydrochloride
Dovato,EMEA/H/C/004909,Authorised,dolutegravir;lamivudine,dolutegravir sodium;lamivudine
Zypadhera,EMEA/H/C/000890,Authorised,olanzapine,olanzapine pamoate
Tivicay,EMEA/H/C/002753,Authorised,dolutegravir,dolutegravir
Zavicefta,EMEA/H/C/004027,Authorised,ceftazidime;avibactam,avibactam sodium;ceftazidime pentahydrate
Mekinist,EMEA/H/C/002643,Authorised,trametinib,trametinib
Afiveg,EMEA/H/C/006761,Authorised,aflibercept,aflibercept
Sitagliptin / Metformin hydrochloride Accord,EMEA/H/C/005850,Lapsed,sitagliptin;metformin hydrochloride,metformin hydrochloride;sitagliptin hydrochloride monohydrate
Dasatinib Accord Healthcare,EMEA/H/C/006251,Authorised,dasatinib,Dasatinib monohydrate
Efient,EMEA/H/C/000984,Authorised,prasugrel,prasugrel
Janumet,EMEA/H/C/000861,Authorised,sitagliptin;metformin,sitagliptin;metformin hydrochloride
Kisqali,EMEA/H/C/004213,Authorised,ribociclib,ribociclib succinate
Lutathera,EMEA/H/C/004123,Authorised,lutetium (177Lu) oxodotreotide,lutetium (177Lu) oxodotreotide
Iclusig,EMEA/H/C/002695,Authorised,ponatinib,Ponatinib
Kaftrio,EMEA/H/C/005269,Authorised,ivacaftor;tezacaftor;elexacaftor,ivacaftor;tezacaftor;elexacaftor
Eyluxvi,EMEA/H/C/006282,Authorised,aflibercept,aflibercept
Glivec,EMEA/H/C/000406,Authorised,imatinib,imatinib
Datopotamab deruxtecan Daiichi Sankyo,EMEA/H/C/006081,Application withdrawn,datopotamab deruxtecan,datopotamab deruxtecan
Slenyto,EMEA/H/C/004425,Authorised,melatonin,melatonin
Uzpruvo,EMEA/H/C/006101,Authorised,ustekinumab,ustekinumab
Jakavi,EMEA/H/C/002464,Authorised,ruxolitinib,ruxolitinib phosphate
Verquvo,EMEA/H/C/005319,Authorised,vericiguat,vericiguat
Tecovirimat SIGA,EMEA/H/C/005248,Authorised,tecovirimat monohydrate,tecovirimat
Sitagliptin SUN,EMEA/H/C/005741,Authorised,sitagliptin fumarate,sitagliptin fumarate
Aspaveli,EMEA/H/C/005553,Authorised,pegcetacoplan,pegcetacoplan
Flixabi,EMEA/H/C/004020,Authorised,infliximab,infliximab
Dectova,EMEA/H/C/004102,Authorised,zanamivir,zanamivir
Oyavas,EMEA/H/C/005556,Authorised,bevacizumab,bevacizumab
Rezdiffra,EMEA/H/C/006220,Authorised,resmetirom,resmetirom
HBVaxPro,EMEA/H/C/000373,Authorised,hepatitis B vaccine (recombinant DNA),"hepatitis B, recombinant surface antigen"
Baiama,EMEA/H/C/005980,Authorised,aflibercept,aflibercept
Ahzantive,EMEA/H/C/006607,Authorised,aflibercept,aflibercept
Cubicin,EMEA/H/C/000637,Authorised,daptomycin,daptomycin
Zepatier,EMEA/H/C/004126,Authorised,elbasvir;grazoprevir,elbasvir;grazoprevir
Zoledronic acid Mylan,EMEA/H/C/002482,Authorised,zoledronic acid,zoledronic acid
Bridion,EMEA/H/C/000885,Authorised,sugammadex,sugammadex
Mysimba,EMEA/H/C/003687,Authorised,naltrexone;bupropion,bupropion hydrochloride;naltrexone hydrochloride
Temodal,EMEA/H/C/000229,Authorised,temozolomide,temozolomide
Quadramet,EMEA/H/C/000150,Authorised,samarium [153Sm] lexidronam pentasodium,samarium (153Sm) lexidronam pentasodium
Duavive,EMEA/H/C/002314,Authorised,oestrogens conjugated;bazedoxifene,oestrogens conjugated;bazedoxifene
Lenalidomide Mylan,EMEA/H/C/005306,Authorised,lenalidomide,lenalidomide
Revolade,EMEA/H/C/001110,Authorised,eltrombopag,eltrombopag
Kymriah,EMEA/H/C/004090,Authorised,tisagenlecleucel,tisagenlecleucel
Increlex,EMEA/H/C/000704,Authorised,mecasermin,Mecasermin
Xoanacyl,EMEA/H/C/006402,Authorised,ferric citrate coordination complex,ferric citrate coordination complex
Pregabalin Viatris Pharma (previously Pregabalin Pfizer),EMEA/H/C/003880,Authorised,pregabalin,pregabalin
Rivaroxaban Viatris (previously Rivaroxaban Mylan),EMEA/H/C/005600,Authorised,rivaroxaban,rivaroxaban
Pylclari,EMEA/H/C/005520,Authorised,piflufolastat (18F),Piflufolastat (18F)
Pegasys,EMEA/H/C/000395,Authorised,peginterferon alfa-2a,peginterferon alfa-2a
Beyonttra,EMEA/H/C/006333,Authorised,acoramidis,acoramidis hydrochloride
Portela,EMEA/V/C/005890,Authorised,relfovetmab,relfovetmab
Grasustek,EMEA/H/C/004556,Authorised,pegfilgrastim,pegfilgrastim
Mektovi,EMEA/H/C/004579,Authorised,binimetinib,binimetinib
Braftovi,EMEA/H/C/004580,Authorised,encorafenib,Encorafenib
Ivemend,EMEA/H/C/000743,Authorised,fosaprepitant,fosaprepitant
Erivedge,EMEA/H/C/002602,Authorised,vismodegib,vismodegib
Rekambys,EMEA/H/C/005060,Authorised,rilpivirine,rilpivirine
Finlee,EMEA/H/C/005885,Authorised,dabrafenib,dabrafenib mesilate
Truqap,EMEA/H/C/006017,Authorised,capivasertib,capivasertib
Piqray,EMEA/H/C/004804,Authorised,alpelisib,alpelisib
Tafinlar,EMEA/H/C/002604,Authorised,dabrafenib,dabrafenib mesilate
Vgenfli,EMEA/H/C/006192,Authorised,aflibercept,aflibercept
Bravecto TriUNO,EMEA/V/C/006311,Authorised,fluralaner;moxidectin;pyrantel,fluralaner;moxidectin;pyrantel
Spexotras,EMEA/H/C/005886,Authorised,trametinib,trametinib dimethyl sulfoxide
Xromi,EMEA/H/C/004837,Authorised,hydroxycarbamide,hydroxycarbamide
Myalepta,EMEA/H/C/004218,Authorised,metreleptin,Metreleptin
Lazcluze,EMEA/H/C/006074,Authorised,lazertinib,lazertinib mesilate monohydrate
Zurzuvae,EMEA/H/C/006488,Authorised,zuranolone,zuranolone
Januvia,EMEA/H/C/000722,Authorised,sitagliptin,sitagliptin
Syfovre,EMEA/H/C/005954,Refused,pegcetacoplan,
Elonva,EMEA/H/C/001106,Authorised,corifollitropin alfa,corifollitropin alfa
Teysuno,EMEA/H/C/001242,Authorised,tegafur;gimeracil;oteracil,tegafur;gimeracil;oteracil
Ristaben,EMEA/H/C/001234,Authorised,sitagliptin,sitagliptin
Orkambi,EMEA/H/C/003954,Authorised,lumacaftor;ivacaftor,Lumacaftor;ivacaftor
M-M-RVaxPro,EMEA/H/C/000604,Authorised,"measles, mumps and rubella vaccine (live)","measles virus Enders’ Edmonston strain (live, attenuated);mumps virus Jeryl Lynn (level B) strain (live, attenuated);rubella virus Wistar RA 27/3 strain (live, attenuated)"
Vocabria,EMEA/H/C/004976,Authorised,cabotegravir,cabotegavir sodium;cabotegravir
Perjeta,EMEA/H/C/002547,Authorised,pertuzumab,pertuzumab
Palonosetron Accord,EMEA/H/C/004129,Authorised,palonosetron,palonosetron
Zimbus Breezhaler,EMEA/H/C/005518,Authorised,indacaterol;glycopyrronium;mometasone furoate,glycopyrronium bromide;Indacaterol (acetate);mometasone furoate
Lytgobi,EMEA/H/C/005627,Authorised,futibatinib,Futibatinib
Rybrevant,EMEA/H/C/005454,Authorised,amivantamab,amivantamab
Cabometyx,EMEA/H/C/004163,Authorised,cabozantinib,cabozantinib (s)-malate
Phesgo,EMEA/H/C/005386,Authorised,pertuzumab;trastuzumab,pertuzumab;trastuzumab
Votrient,EMEA/H/C/001141,Authorised,pazopanib,pazopanib
Abilify Maintena,EMEA/H/C/002755,Authorised,aripiprazole,aripiprazole
Multaq,EMEA/H/C/001043,Authorised,dronedarone,dronedarone
Keppra,EMEA/H/C/000277,Authorised,levetiracetam,levetiracetam
Fanskya,EMEA/H/C/005537,Application withdrawn,Mozafancogene autotemcel,mozafancogene autotemcel
Lemtrada,EMEA/H/C/003718,Authorised,alemtuzumab,alemtuzumab
Imbruvica,EMEA/H/C/003791,Authorised,ibrutinib,Ibrutinib
Adtralza,EMEA/H/C/005255,Authorised,tralokinumab,tralokinumab
